monkey_id,cohort_name,sex,age_at_induction_days,drinking_category
10005,INIA Cyno 1,M,2284,LD
10006,INIA Cyno 1,M,2040,VHD
10007,INIA Cyno 1,M,2145,VHD
10008,INIA Cyno 1,M,2217,VHD
10010,INIA Cyno 1,M,2429,LD
10011,INIA Cyno 1,M,2374,HD
10012,INIA Cyno 1,M,2280,VHD
10013,INIA Cyno 1,M,2236,BD
10014,INIA Cyno 1,M,2224,BD
10015,INIA Cyno 1,M,2134,LD
10016,INIA Cyno 2,M,2287,LD
10018,INIA Cyno 2,M,2356,LD
10019,INIA Cyno 2,M,2394,LD
10020,INIA Cyno 2,M,2356,VHD
10021,INIA Cyno 2,M,2402,LD
10022,INIA Cyno 2,M,2321,LD
10023,INIA Cyno 2,M,2394,LD
10024,INIA Cyno 2,M,2307,LD
10025,INIA Cyno 2,M,2484,LD
10026,INIA Cyno 2,M,2376,LD
10027,INIA Cyno 2,M,2388,LD
10032,INIA Cyno 3,F,2432,VHD
10033,INIA Cyno 3,F,,
10035,INIA Cyno 3,F,2516,VHD
10036,INIA Cyno 3,F,2506,VHD
10038,INIA Cyno 3,F,2455,VHD
10039,INIA Cyno 3,F,2430,BD
10040,INIA Cyno 3,F,2364,VHD
10041,INIA Cyno 3,F,2459,VHD
10042,INIA Cyno 3,F,2434,LD
10044,INIA Cyno 3,F,2496,VHD
10045,INIA Cyno 3,F,2488,VHD
10048,INIA Rhesus 4,M,3600,LD
10049,INIA Rhesus 4,M,3585,HD
10051,INIA Rhesus 4,M,3369,BD
10052,INIA Rhesus 4,M,3352,LD
10054,INIA Rhesus 4,M,2933,BD
10055,INIA Rhesus 4,M,3077,LD
10056,INIA Rhesus 4,M,2925,LD
10057,INIA Rhesus 4,M,2577,BD
10058,INIA Rhesus 4,M,2621,LD
10059,INIA Rhesus 4,M,2621,BD
10060,INIA Rhesus 5,M,2084,BD
10061,INIA Rhesus 5,M,2137,VHD
10062,INIA Rhesus 5,M,2168,VHD
10063,INIA Rhesus 5,M,2078,VHD
10064,INIA Rhesus 5,M,2064,HD
10065,INIA Rhesus 5,M,2168,HD
10066,INIA Rhesus 5,M,2109,VHD
10067,INIA Rhesus 5,M,2123,HD
10069,INIA Rhesus 6a,F,1511,VHD
10070,INIA Rhesus 6a,F,1504,VHD
10072,INIA Rhesus 6b,F,2131,LD
10073,INIA Rhesus 6b,F,2056,VHD
10074,INIA Rhesus 6b,F,2040,LD
10075,INIA Rhesus 6b,F,2131,HD
10077,INIA Rhesus 6b,F,2207,LD
10078,INIA Rhesus 6a,F,1401,VHD
10079,INIA Rhesus 6a,F,1518,VHD
10080,INIA Rhesus 6a,F,1518,VHD
10081,INIA Rhesus 6a,F,1518,VHD
10082,INIA Rhesus 7b,M,2298,HD
10083,INIA Rhesus 7b,M,2116,LD
10084,INIA Rhesus 7b,M,2066,LD
10085,INIA Rhesus 7b,M,2142,LD
10086,INIA Rhesus 7b,M,2061,BD
10087,INIA Rhesus 7a,M,1591,BD
10088,INIA Rhesus 7a,M,1639,HD
10089,INIA Rhesus 7a,M,1698,LD
10090,INIA Rhesus 7a,M,1554,LD
10091,INIA Rhesus 7a,M,1587,VHD
10092,INIA Rhesus 7a,M,1569,LD
10097,INIA Rhesus 7a,M,1583,HD
10098,INIA Rhesus 7a,M,1456,VHD
10099,INIA Cyno 8,F,,BD
10102,INIA Cyno 8,F,,LD
10104,INIA Cyno 8,F,,BD
10208,INIA Rhesus 10,M,2146,BD
10209,INIA Rhesus 10,M,2132,BD
10210,INIA Rhesus 10,M,2251,LD
10211,INIA Rhesus 10,M,1833,BD
10212,INIA Rhesus 10,M,1840,HD
10213,INIA Rhesus 10,M,1732,LD
10214,INIA Rhesus 10,M,1840,VHD
10215,INIA Rhesus 10,M,1854,VHD
10242,INIA Rhesus 14,M,2769,VHD
10243,INIA Rhesus 14,M,2861,BD
10244,INIA Rhesus 14,M,2820,HD
10246,INIA Rhesus 14,M,2766,LD
10247,INIA Rhesus 14,M,2795,HD
10248,INIA Rhesus 14,M,2847,VHD
10249,INIA Rhesus 14,M,2807,HD
10251,INIA Rhesus 14,M,2789,BD
10252,INIA Rhesus 14,M,2801,VHD
10254,INIA Rhesus 16,F,2485,LD
10255,INIA Rhesus 16,F,2331,LD
10256,INIA Rhesus 16,F,1911,BD
10257,INIA Rhesus 16,F,2014,VHD
10258,INIA Rhesus 16,F,2035,LD
10259,INIA Rhesus 16,F,1976,LD
10260,INIA Rhesus 16,M,2649,LD
